Country.Name,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Perceptions.of.corruption,Compulsory.education..duration..years.,Individuals.using.the.Internet....of.population.,Rural.population....of.total.population.,Log.Scientific.and.technical.journal.articles,Ladder.score
Chad,7.287,0.6563333333333333,52.875,0.6006666666666667,0.7973333333333333,10,12.631080821666666,76.1982,2.714363563158802,4.471
Chile,10.124,0.8818,70.3,0.7702,0.8326,12,87.19398260666667,12.1778,9.039409692108908,6.36
Colombia,9.6016,0.8346,69.35,0.8118,0.8452,12,70.1567467475,18.2654,9.089446502690368,5.695
Comoros,8.093,0.529,59.30833333333333,0.49033333333333334,0.7326666666666667,6,21.62796986,70.3694,1.5249687558076503,3.566
Costa Rica,9.9632,0.8786,70,0.9092,0.7816,13,81.76995244999999,18.6128,6.4311458795994,6.955
Croatia,10.3506,0.9192,68.95,0.7168,0.9024,8,80.181549395,42.1066,8.45498262515448,5.942
Cyprus,10.63575,0.812,72.8,0.7298,0.8568,10,89.306511425,33.124,7.247301357934325,6.068
Czechia,10.61325,0.94625,69.1125,0.90275,0.8525,10,82.3541398775,25.775000000000002,9.652292331435477,6.822
Denmark,10.9666,0.9471999999999999,71.25,0.9374,0.1896,10,97.8303873,11.7576,9.610886736206696,7.583
Dominican Republic,9.8274,0.8454,64.4,0.8582,0.6764,15,82.38558204666667,16.825,4.3641808415282926,5.823
Ecuador,9.2922,0.801,69,0.7939999999999999,0.835,15,68.955252795,35.625,7.8552384294760085,5.725
El Salvador,9.1144,0.7544,65.6,0.9144,0.609,15,55.99095033333333,25.9064,3.06502510004994,6.469
Estonia,10.5212,0.9458,69.65,0.9172,0.4278,9,90.3220515825,30.5772,7.430262407521965,6.448
Eswatini,9.0835,0.7355,51.3,0.5680000000000001,0.749,7,56.45607325333333,75.6226,3.5544905510752844,3.502
Ethiopia,7.748,0.74525,60.7,0.7070000000000001,0.77725,8,16.424458633333334,77.8176,8.09504671979609,3.861
Finland,10.794,0.958,71.15,0.955,0.1852,10.6,91.893627925,14.397400000000001,9.322201463036238,7.741
France,10.7158,0.9072,72.3,0.8122,0.557,12.4,84.8687386175,18.7576,11.099217553104392,6.609
Gabon,9.549999999999999,0.7456,58.25,0.6768,0.8052,10,70.40788578666667,9.596,4.204468713728949,5.106
Georgia,9.667,0.7194,64.95,0.81,0.6628,9,74.13306957500001,40.1224,6.4235797003782675,5.185
Germany,10.8796,0.894,71.3,0.8534,0.4362,13,90.25197795,22.4428,11.599589052321386,6.719
Ghana,8.5954,0.6622,58.75,0.7922,0.8786,11,56.63059684666667,42.0212,7.514279189047564,4.289
Greece,10.3092,0.8426,71.15,0.581,0.8086,10,78.8629946175,19.9658,9.39396815861369,5.934
Guatemala,9.110333333333333,0.792,62.766666666666666,0.8766666666666667,0.8066666666666666,16,47.585013653333334,47.7432,4.7159062275827575,6.287
Guinea,7.8838,0.6345999999999999,54.2,0.6874,0.7782,6,28.95653826,62.7216,3.6451887654892032,5.023
Honduras,8.64475,0.76575,63.956250000000004,0.8525,0.82,12,43.653805743333336,41.0234,4.503691017038237,5.968
Hungary,10.4216,0.9458,67.5,0.7654,0.8493999999999999,13,86.0611303375,27.7506,8.89631295525847,6.017
Iceland,10.9046,0.9818,72.05,0.937,0.6792,10,99.57490421333333,6.0538,6.514245915283086,7.525
India,8.8234,0.5976,60.9,0.8882,0.766,8,39.74631818333334,64.5946,11.844975581271138,4.054
Indonesia,9.401,0.797,63.05,0.8814,0.8696,9,57.501558665,42.7156,10.357773617990404,5.568
Iraq,9.097249999999999,0.73125,63.887499999999996,0.65325,0.864,6,54.436378669999996,28.8714,9.023576362083503,5.166
Ireland,11.531,0.9162,71.3,0.8836,0.364,10,91.38983762666666,36.0762,9.006499935967906,6.838
Israel,10.6548,0.9456,72.7,0.8114,0.7016,15,89.07070537,7.324199999999996,9.512227818641481,7.341
