"Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Perceptions.of.corruption","Compulsory.education..duration..years.","Individuals.using.the.Internet....of.population.","Rural.population....of.total.population.","Log.Scientific.and.technical.journal.articles","Ladder.score"
0.712540094699863,0.851782516685658,0.814053127677806,0.846059113300493,0.921084979103499,0.545454545454545,0.630626815766445,0.379393064426751,0.350803913996054,0.780902654867257
0.511654192760043,0.865212436920072,0.710368466152528,0.894252873563218,0.892075719085471,0.727272727272727,0.721606648328031,0.455651315853433,0.308906756669938,0.399902654867257
0.489751031006568,0.699820934396874,0.845758354755784,0.730377668308703,0.947881668442186,0.818181818181818,0.654367784777948,0.261211732337815,0.546621498626129,0.263902654867257
0.401221933710096,0.71023929676054,0.57840616966581,0.952709359605911,0.768171761042367,0.727272727272727,0.4356478394468,0.635554291714061,0.571708662863839,0.470902654867257
0.726974186650375,0.88083998046557,0.818337617823479,0.73136288998358,0.723428665082357,0.309090909090909,0.830698162673244,0.484860637170551,0.780179498657819,0.864902654867257
0.724637238429815,0.835259645124532,0.893744644387318,0.888998357963875,0.939768909284602,0.636363636363636,0.788556843766185,0.402946695054491,0.712832749804834,0.452902654867257
0.701955093936154,0.769819306527755,0.749785775492716,0.833169129720854,0.991395558469229,0.454545454545455,0.790707743480909,0.554709753939783,0.66858785562479,0.913902654867257
0.200473499312663,0.453687123555266,0.508140531276778,0.70311986863711,0.872408424157994,0.545454545454545,0.430785156071568,0.624532135600471,0.384518992318511,-0.608097345132743
0.594638765846953,0.846003581312063,0.753213367609255,0.756978653530378,0.838974022781283,0.272727272727273,0.788760411007579,0.526577128357687,0.605993477636373,0.833902654867257
0.0265197800519322,0.347143089695588,0.326478149100257,0.55295566502463,0.910329427190035,0.363636363636364,0.107649614526351,0.68804017071582,0.220654818132105,-2.33209734513274
0.978539789216435,0.854224320364643,0.982005141388175,0.889573070607553,0,0.0909090909090909,0.933575957078889,0,0.684669401072262,0.945902654867257
0.759279059111044,0.935210809050952,0.886889460154242,0.947454844006568,0.795214291567647,0.363636363636364,0.862431984351203,0.541492888461127,0.584103361803939,1.16590265486726
0.507071941347182,0.830050463942699,0.41388174807198,0.633825944170772,0.929197738261083,0.363636363636364,0.687266938897016,0.390791942524378,0.706990629349287,-0.155097345132743
0.752268214449366,0.917629822562266,0.931448157669237,0.713628899835796,0.718757682537081,0.454545454545455,0.929436536397768,0.230196575961735,0.828289348791596,0.843902654867257
0.495753780357416,0.731401595311737,0.754927163667524,0.710016420361248,0.906826190281078,0.545454545454545,0.394060483445512,0.985808518291675,0.514421362051093,-1.67909734513274
0.824484496716053,0.924792446687286,0.924592973436161,0.978981937602627,0.122101122674752,0.454545454545455,0.946826164247468,0.143025539320053,0.735500785304468,1.76690265486726
0.886253245761418,0.903955721959954,0.950299914310197,0.902134646962233,0.179382119151028,0.545454545454545,0.943317714300712,0.315829128629899,0.740557666601809,1.48290265486726
0.132243775775164,0.479081881816702,0.487574978577549,0.817733990147783,0.54961894616078,0.181818181818182,0.184235272449098,0.778302758091016,0.453196676871378,-1.79609734513274
0.569069802963189,0.832003906885886,0.79777206512425,0.870607553366174,0.954273539293616,0.363636363636364,0.78130573488867,0.58141083598254,0.696668690561556,0.398902654867257
0.0905567435466626,0.3247598893049,0.416452442159383,0.497947454844007,0.740699008440547,0.454545454545455,0.225606203810396,0.688266203906242,0.255732319096192,-1.36309734513274
0.453322132274324,0.540289760703239,0.748071979434447,0.375697865353038,0.952798492174056,0.363636363636364,0.709598654883752,0.3658626690388,0.610495411832137,-1.15509734513274
0.101130288681839,0.706006837050301,0.479005998286204,0.637110016420361,0.903138572482176,0.181818181818182,0,0.904623715499558,0.45608729366458,-1.20509734513274
0.48672674507408,0.817678658635846,0.664095972579263,0.702791461412151,0.962140457264607,0.545454545454545,0.730896760711885,0.367359835117294,0.687564967921808,-0.704097345132743
0.787689017870781,0.85870096044278,0.861182519280206,0.839080459770115,0.424239940998115,0.545454545454545,0.94675520228303,0.192621596134589,0.872593710229686,1.17190265486726
0.863296166182985,0.878235389874654,0.708654670094259,0.732019704433497,0.708432352700156,0.636363636363636,0.902554430588353,0.208101223981878,1,1.14790265486726
0.63752863907133,0.893211785772424,0.765209940017138,0.907060755336617,0.584036712283865,0.818181818181818,0.867814145344412,0.053462925695842,0.464381418717871,1.03390265486726
0.383488620742325,0.850236041022302,0.689802913453299,0.978981937602627,0.606654101450463,0.636363636363636,0.70812647918365,0.602089227209535,0.474452215149604,0.617902654867257
0.185672827249122,0.5103369689077,0.345329905741217,0.79047619047619,0.831598787183479,0.181818181818182,0.121706600645785,0.665973984308922,0.34280323593838,-2.07509734513274
0.085458988849855,0.548103532475989,0.304198800342759,0.525451559934319,0.804802097844792,0.181818181818182,0.247011759392152,0.822306316290917,0.400469337548967,-2.23609734513274
